t,I
0.05,-32.9938603523056
10.05,-32.8650838965636
20.0499999999999,-28.744236881871
30.05,-34.9255073953284
40.05,-29.2593427547088
50.0499999999999,-32.3499780145509
60.0499999999999,-29.0017898100238
70.0499999999999,-30.6758839182012
80.0499999999999,-33.6377427028324
90.05,-34.9255073961722
100.049999999999,-25.1384957288612
110.049999999999,-425.375735977187
120.049999999999,-379.78887133803
130.05,-361.631391170413
140.05,-357.51054459576
150.049999999999,-348.882522080032
160.05,-346.178216504932
170.05,-343.860240289665
180.049999999999,-342.830028647123
190.049999999999,-343.860240291835
200.05,-335.876099997773
210.049999999999,-334.717111905402
220.049999999999,-337.163864577077
230.05,-337.807746863252
240.05,-338.96673496622
250.049999999999,-338.194076229658
260.05,-336.391205840783
270.05,-337.292641033143
280.05,-332.914241509455
290.049999999999,-336.777535210267
300.05,-335.876100009598
310.05,-335.103441271712
320.05,-337.550193947073
330.05,-330.08115947508
340.05,-341.02715825865903
350.049999999999,-334.845888370734
360.049999999999,-332.270359241201
370.05,-339.739393702316
380.05,-338.065299770119
390.05,-338.065299772225
400.05,-333.68690025477
410.05,-332.91424152298
420.049999999999,-335.360994188037
430.05,-339.095511420958
440.05,-335.489770628487
450.05,-333.944453178175
460.05,-332.785465064968
470.05,-337.936523318537
480.049999999999,-337.80774685916
490.05,-332.012806326012
500.05,-339.095511425139
510.05,-142.71140988276
520.05,-73.3008949008045
530.05,-57.8477187830939
540.05,-49.6060248286762
550.05,-48.5758130799457
560.05,-47.1592719228801
570.049999999999,-46.257836646719
580.049999999999,-46.129060173244
590.049999999999,-40.2053426146292
