t,I1,I2,I3,I4,I5
0.05,-37.3722603093554,-31.19098979645768,-30.03200157493948,-35.56938974642712,-32.9938603523056
10.05,-31.577319193637415,-32.86508388338666,-32.34997802032672,-31.96364860742248,-32.86508389656368
20.05,-33.637742704347644,-31.57731920184368,-30.93343685219292,-30.547107445150363,-28.74423688187104
30.05,-32.092425079579684,-29.903225103538915,-30.9334368544,-32.86508389525112,-34.925507395328474
40.05,-38.144919116235315,-35.05428386635296,-31.96364860063128,-26.03993101799611,-29.259342754708843
50.05,-31.963648607964352,-36.08449561512824,-33.12263682774584,-38.14491912268127,-32.34997801455099
60.05,-31.70609567360984,-32.09242507808736,-29.90322510142184,-30.289554505431816,-29.001789810023855
70.05,-34.15284858465416,-32.86508387962423,-30.03200156863188,-30.80466038553256,-30.67588391820128
80.04999999999998,-35.826942675099,-33.12263682873076,-34.92550739809548,-29.0017898163758,-33.63774270283248
90.05000000000001,-33.2514132971904,-27.58524864771344,-32.47875447937908,-34.152848585174,-34.92550739617225
100.05,-33.50896623989308,-32.478754483776996,-30.28955450984844,-25.782378070133085,-25.138495728861272
110.05,-541.9184223910213,-430.9131234583456,-425.8908417979264,-419.1944662463712,-425.3757359771876
120.05,-425.7620645466944,-361.76016760528194,-368.327766824328,-378.501106774236,-379.7888713380301
130.05,-358.6695324077916,-331.7552534134996,-347.4659810408816,-358.4119797615688,-361.6313911704132
140.05,-327.24807725459607,-319.907819390066,-333.944453168852,-353.132145111766,-357.51054459576005
150.04999999999998,-307.0301736070828,-314.2416552925512,-331.62647695821204,-342.83002863857484,-348.8825220800328
160.05,-295.05396308834395,-311.4085732218084,-327.6344068024676,-338.0652997688524,-346.17821650493244
170.05,-284.6230699964984,-304.19709161636354,-324.0286660182679,-335.7473235639092,-343.8602402896652
180.04999999999998,-281.91876436059766,-301.1064566380424,-318.1049490013576,-332.78546506691765,-342.8300286471232
190.05,-277.5403648053888,-300.4625743553412,-317.5898431774148,-334.073229623588,-343.8602402918352
200.05,-274.3209533084224,-295.8266218753332,-320.0365958545292,-329.0509478205488,-335.8760999977732
210.05,-271.74542417383435,-299.04603331990484,-315.2718669428808,-331.36892404243315,-334.7171119054028
220.05,-273.161965219436,-295.95539833283635,-315.40064340023724,-328.5358420056808,-337.1638645770772
